id_companies,id,name_companies
577,26441,Caravan Pictures
38196,97406,Miramax Films
38197,97406,CiBy 2000
2492,124057,Telefilm Canada
8888,124057,Melenny Productions
1644,9089,Paramount Pictures
1645,9089,Egg Pictures
3311,9089,PolyGram Filmed Entertainment
4665,11359,Paramount Pictures
18737,11359,Columbia Pictures Corporation
979,11359,The Kennedy/Marshall Company
456,17182,Paramount Pictures
11362,2054,Hollywood Pictures
75942,2054,The Charlie Mopic Company
5869,2054,PolyGram Filmed Entertainment
16366,2054,Interscope Communications
22684,10607,Miramax Films
68518,10607,Island Pictures
181,10607,Ivory Way Productions
3324,19760,Warner Bros.
7025,19760,Morgan Creek Productions
12113,9536,Metro-Goldwyn-Mayer (MGM)
12911,9536,Motion Picture Corporation of America (MPCA)
12912,9536,3 Arts Entertainment
12913,9536,Weasel Productions
18,11525,New Line Cinema
10355,40628,Miramax Films
1606,4482,Renn Productions
3929,4482,Les Films Flam
171,4482,TF1 Films Production
2504,4482,Canal+
6254,10634,New Line Cinema
4564,755,A Band Apart
7965,755,Dimension Films
11353,755,Los Hooligans Productions
46059,755,Miramax
46060,11859,Silver Pictures
2521,11859,Warner Bros.
806,28387,Castleberg Productions
2055,28387,Sandollar Productions
3498,48750,Les Films 13
9116,48750,Canal+
12745,48750,TF1
17027,20927,New Line Cinema
22150,20927,Juno Pix
38673,36929,Warner Bros.
38674,36929,Morgan Creek Productions
40534,9102,The Movie Network (TMN)
85045,9102,Allegro Films
83,9102,Fuji Eight Company Ltd.
883,9102,Fries Film Group
885,9102,Super Ecran
3236,9102,Triumph Films
11308,124626,Zweites Deutsches Fernsehen (ZDF)
540,124626,Ciak Filmproduktion
10932,124626,Bluehorse Films
371,27526,Miramax Films
264,9623,Columbia Pictures Corporation
1766,46785,I.R.I.B. Channel 2
1979,46785,Ferdos Films
22029,400,Miramax Films
22618,880,Bergen Film
71842,880,Bard Entertainments
8,880,NPS Televisie
1898,146599,BET Pictures
93488,146599,United Image Entertainme
93489,8447,Playhouse International Pictures
68229,8447,The Samuel Goldwyn Company
38778,10534,Hollywood Pictures
94477,10534,Largo Entertainment
94478,10534,Scott Free Productions
43,17414,Twentieth Century Fox Film Corporation
5996,17414,Joe Wizan/Todd Black
16027,13997,Paramount Pictures
3644,2086,Paramount Pictures
3906,61548,Miramax Films
7248,61548,Addis Wechsler Pictures
37909,9095,TriStar Pictures
23,9095,NFH Productions
8989,12158,Paramount Pictures
236,9283,Miramax Films
1214,9283,Woods Entertainment
5353,9208,Twentieth Century Fox Film Corporation
386,9208,WCG Entertainment Productions
387,9208,Mark Gordon Productions
11290,40154,Castle Rock Entertainment
30334,40154,Midwinter Films
11098,406,Egg Pictures
4319,406,PolyGram Filmed Entertainment
7383,406,Canal+
4532,406,Les Productions Lazennec
2510,406,La Sept Cinéma
729,406,Kasso Inc. Productions
1474,406,Studio Image
2765,406,Cofinergie 6
18902,45549,Channel Four Films
20740,63076,British Broadcasting Corporation (BBC)
10158,63076,Westdeutscher Rundfunk (WDR)
644,63076,Canadian Broadcasting Corporation (CBC)
5739,63076,Cinemax Reel Life
87394,63076,InPictures
12909,63076,Lafayette Films
12910,11062,Columbia Pictures
13187,11062,Castle Rock Entertainment
13190,13685,Gracie Films
3557,13685,Columbia Pictures Corporation
1203,47475,Touchstone Pictures
2267,2045,Metro-Goldwyn-Mayer (MGM)
4350,2045,Dino De Laurentiis Company
7828,2045,Spelling Films
11578,9614,Universal Pictures
35859,9614,Brillstein-Grey Entertainment
37,9614,Robert Simonds Productions
11462,688,Amblin Entertainment
16934,688,Malpaso Productions
2106,688,Warner Bros.
9255,10874,Walt Disney Pictures
16561,10874,Jim Henson Productions
38959,10874,"Jim Henson Company, The"
38960,197,Icon Entertainment International
37897,197,The Ladd Company
436,197,B.H. Finance C.V.
37890,103,Columbia Pictures Corporation
28205,103,Italo/Judeo Productions
1422,103,Bill/Phillips
38692,33542,New Line Cinema
39861,33542,Golden Harvest Company
705,43566,Caravan Pictures
16368,43566,Hollywood Pictures
3864,71754,Téléfilm Canada
574,71754,Skyline Films
1080,71754,Malofilm
1147,71754,Société de Développement des Entreprises Culturelles (SODEC)
14680,71754,British Screen Productions
6849,71754,National Film Board of Canada (NFB)
16026,71754,imX Communications
17825,71754,Glace Bay Pictures
21480,71754,Ciné Télé Action
63906,71754,Nova Scotia Film Development Corporation
2851,71754,Ranfilm
1073,43612,France 2 Cinéma
1302,43612,France 3 Cinéma
6092,43612,StudioCanal
6068,43612,Les Productions du Champ Poirier
6911,43612,Téléma Productions
6453,16934,Bavaria Film and Television Fund
6454,10324,TriStar Pictures
6367,10324,Motion Picture Corporation of America (MPCA)
98,78406,Savoy Pictures
6365,55731,TriStar Pictures
18189,11066,Paramount Pictures
16192,11104,Jet Tone Production
1595,11104,The Criterion Collection
4867,37975,Cecchi Gori Group Tiger Cinematografica
4127,2074,Miramax Films
23808,27793,Studio Babelsberg
70,27793,Dieter Geissler Filmproduktion
11407,27793,Cinevox Filmproduktion GmbH
15709,27793,Warner Bros.
52095,27793,Miramax
826,44284,Canal Horizons
8277,44284,Mat Films
68141,44284,Cinétéléfilms
5528,73067,Fine Line Features
10565,73067,Channel Four Films
25345,73067,Bórd Scannán na hÉireann
10166,73067,Canal+
12800,11863,Paramount Pictures
34207,55475,Cigua Films
21,55475,D'Pelicula
1429,9101,Twentieth Century Fox Film Corporation
2359,123360,Couch Potatoe Productions
37581,39428,Channel Four Films
13042,39428,Academy
11,39428,Mayfair Films
294,39428,Iberoamerica Films
2306,9302,Cinergi Pictures Entertainment
2630,9302,Touchstone Pictures
11393,11000,United Artists
360,16388,Fox Searchlight Pictures
2370,9737,Columbia Pictures
8816,9737,Don Simpson/Jerry Bruckheimer Films
414,30765,Warner Bros.
36854,10474,New Line Cinema
4063,10474,Island Pictures
1,22279,Fine Line Features
983,22279,BBC
9209,22279,British Screen Productions
84803,22279,Portman Productions
84804,30157,Channel Four Films
348,30157,Zenith Entertainment
1656,30157,American Playhouse
285,30157,Union Générale Cinématographique (UGC)
2832,30157,La Sept Cinéma
3268,30157,True Fiction Pictures
36836,568,Imagine Entertainment
798,568,Universal Pictures
23022,11780,United Artists
20928,11780,Talisman Productions
89873,34996,October Films
2428,34996,Guild
594,34996,Fastnet Films
761,414,Warner Bros.
7260,414,Polygram Filmed Entertainment
42935,649,Paris Films Productions
11139,649,Five Films
7954,649,Robert et Raymond Hakim
4198,1873,Columbia Pictures
68551,1873,Castle Rock Entertainment
293,5894,Miramax Films
295,5894,InterAL
17067,1775,PolyGram Filmed Entertainment
17068,8839,Universal Pictures
824,8839,Amblin Entertainment
2154,8839,The Harvey Entertainment Company
16775,20649,Universal Pictures
9,20649,40 Acres & A Mule Filmworks
31715,10329,Paramount Pictures
37580,10329,"Kennedy/Marshall Company, The"
316,8963,Hollywood Pictures
84839,8963,Don Simpson/Jerry Bruckheimer Films
84840,26564,Superior Pictures
6187,8068,Columbia Pictures
6541,8068,Los Hooligans Productions
7089,8512,TriStar Pictures
8923,8512,Mundy Lane Entertainment
18495,1572,Twentieth Century Fox Film Corporation
75913,1572,Cinergi Pictures Entertainment
12883,13552,Why Not Productions
38,13552,Desperate Pictures
1245,13552,Blurco
1610,13552,The Teen Angst Movie Company
16953,259209,Touchstone Pictures
24946,259209,Merchant Ivory Productions
4108,6520,Columbia Pictures Corporation
29272,6520,First Knight Productions
29273,9073,Regency Enterprises
2596,9073,Alcor Films
11134,9073,Canal+
347,9073,Donner/Shuler-Donner Productions
10320,9073,Warner Bros.
359,10428,United Artists
980,10428,Suftley
78701,17447,The Booking Office
6647,17447,Workin' Man Films
8861,9886,TriStar Pictures
10015,9886,Alliance Communications Corporation
4733,9482,Hollywood Pictures
4734,9482,Cinergi Pictures Entertainment
1078,19326,TriStar Pictures
25299,9344,Miramax Films
2231,9071,JDI productions
69626,9071,Lemon Sky Productions
58,8973,United Artists
14729,8973,Seraphim Films
37350,15730,The Ontario Film Development Corporation
4908,15730,First Choice Films
36024,15730,Atlantis Films
105,15730,Telefilm Canada
11840,15730,Max Films Productions
39250,15730,Super Écran
10157,15730,Société Générale des Industries Culturelles du Québec (SOGIC)
355,47608,Touchstone Pictures
635,2293,Universal Pictures
8131,2293,Gramercy Pictures
2767,2293,Alphaville Films
4028,2293,View Askew Productions
4029,9070,Twentieth Century Fox Film Corporation
4030,9070,Saban Entertainment
6455,9070,Toei Company
16823,68274,PolyGram Filmed Entertainment
1353,68274,Working Title Films
1947,48787,Comet Film Produktion GmbH
37294,48787,Avrora Media
37295,48787,Cobblestone Pictures
201,34574,Kino Link Company
12914,1642,Columbia Pictures
12915,11472,Twentieth Century Fox Film Corporation
12916,11472,1492 Pictures
552,36196,Party Productions
278,11980,Dimension Films
496,58372,Playhouse International Pictures
662,58372,American Playhouse
467,58372,"Samuel Goldwyn Company, The"
2982,32646,Killer Films
4248,32646,American Playhouse
335,32646,Kardana Films
13040,32646,Chemical Films
24217,10533,Hollywood Pictures
21857,10533,Cinergi Pictures Entertainment
11358,10802,United Artists
3923,10802,Le Studio Canal+
25583,10802,Carolco Pictures
170,10149,Miramax Films
6215,18402,Spring Creek Productions
6216,18402,Warner Bros.
6217,18402,Hawn / Sylbert Movie Company
7220,9348,Metro-Goldwyn-Mayer (MGM)
33419,139408,Malpaso Productions
16835,139408,Butcher's Run Films
14280,139408,Warner Bros.
37300,281,Lightstorm Entertainment
90509,5967,Beta Film
888,5967,Madeleine Films
38179,5967,Parc Film
38289,79593,Hollywood Pictures
38276,79593,PolyGram Filmed Entertainment
2662,79593,Interscope Communications
22240,47939,Savoy Pictures
30655,36834,Société Française de Production (SFP)
41,36834,FIT Productions
21222,36834,Portman Productions
82606,9090,Universal Pictures
82607,9090,Amblin Entertainment
89311,3512,Regency Enterprises
16737,3512,Warner Bros.
7049,3512,Seagal/Nasso Productions
58750,3512,Victor Company of Japan (JVC)
79560,3512,Cutting Edge Films
79561,52856,Hollywood Pictures
30,9560,Twentieth Century Fox Film Corporation
14150,9560,Zucker Brothers Productions
18070,9804,Universal Pictures
10098,9804,Gordon Company
10099,9804,Davis Entertainment
70969,9804,Licht/Mueller Film Corporation
7429,31611,HBO
1350,31611,A BandApart
1988,31611,Rysher Entertainment
23246,65796,United Artists
45728,49805,Paramount Pictures
45729,26258,Twentieth Century Fox Film Corporation
36863,50797,Canal+
36864,50797,Studio Trite
36865,50797,Caméra One
68062,19155,PolyGram Audiovisuel
6556,19155,British Screen Productions
708,76,Detour Film Production
2269,76,Warner Bros.
365,11017,Jack Giarraputo Productions
19534,37141,Spelling Films International
13,9382,Regency Enterprises
104,9382,Alcor Films
89521,9382,Canal+
89522,9382,New Regency Pictures
89523,9382,Hera Productions
11751,6715,Universal Pictures
272,6715,Island World
1930,18256,Full Moon Entertainment
10348,22625,The Rank Organisation
118,22625,Bórd Scannán na hÉireann
10598,22625,Lantana
13096,22625,Price Entertainment
33027,2292,Miramax Films
23873,2292,View Askew Productions
2307,1909,New Line Cinema
3589,1909,American Zoetrope
55528,8984,Warner Bros.
1023,8984,Baltimore Pictures
6116,61813,Keystone Pictures
13139,61813,Dream Man Productions Inc
14668,4954,Paramount Pictures
3102,62488,Savoy Pictures
8827,62488,Rysher Entertainment
1177,10531,Fine Line Features
16827,10531,Channel Four Films
10230,10531,Capitol Films
10100,10531,TF1 Films Production
1280,10531,Canal+
1755,10531,Flach Film
4972,10531,Les Films de l'Astre
11912,11929,Castle Rock Entertainment
27593,11929,Columbia Pictures Corporation
36765,8467,New Line Cinema
1274,8467,Motion Picture Corporation of America (MPCA)
418,10451,Ang Lee Productions
5186,10451,Good Machine
14089,10451,Central Motion Pictures
8780,20156,Miramax Films
5612,20156,Alliance Entertainment
36907,20156,Ego Film Arts
39712,18395,Savoy Pictures
50619,522,Touchstone Pictures
75712,397,Twentieth Century Fox Film Corporation
75713,397,PolyGram Filmed Entertainment
14374,397,Working Title Films
36789,397,Prufrock Pictures
36790,10525,Columbia Pictures
249,10525,Castle Rock Entertainment
28822,27985,Twentieth Century Fox Film Corporation
37265,15789,Walt Disney Pictures
17411,27303,TriStar Pictures
5553,21183,Metro-Goldwyn-Mayer
408,10954,Italian International Film
25158,10954,Stéphan Films
25159,10954,MG
25160,72031,Miramax Films
36889,14275,Fine Line Features
94856,14275,Kartemquin Films
5798,1024,WingNut Films
5848,1024,Miramax Films
6386,1024,New Zealand Film Commission
5888,1024,Fontana Productions
12288,17207,Caravan Pictures
164,17207,Hollywood Pictures
8601,13701,Columbia Pictures
8835,13701,Majestic Films International
342,13701,Icon Entertainment International
3322,14819,Walt Disney Pictures
6189,14819,Caravan Pictures
37572,32631,Universal Pictures
1524,32631,Bregman/Baer Productions
6566,11777,Paramount Pictures
2658,628,Geffen Pictures
11736,87729,Merchant Ivory Productions
5778,87729,Touchstone Pictures
157,18713,Caravan Pictures
235,18713,Touchstone Pictures
6181,6280,Universal Pictures
7446,6280,Northern Lights Entertainment
55150,9061,Fountainbridge Films
55151,9061,Warner Bros.
23506,9061,Lee Rich Productions
3614,37108,Walt Disney Pictures
58855,37108,Trimark Pictures
9364,6071,Twentieth Century Fox Film Corporation
20769,11,Lucasfilm
37352,11,Twentieth Century Fox Film Corporation
37353,9587,Columbia Pictures
37354,19101,Warner Bros.
477,49980,Channel Four Films
61409,49980,Parallax Pictures
16636,17961,MK2 Productions
4357,18183,Aviacsa
55072,18183,Cinevista
3166,4476,Bedford Falls Productions
6125,4476,TriStar Pictures
10282,4476,Pangaea
6,11008,Universal Pictures
7399,47504,Fine Line Features
38963,47504,New Line Cinema
4051,47504,Live Entertainment
5551,32325,Channel Four Films
46108,32325,Cineville
711,32325,Home Box Office (HBO)
81131,32325,Showcase Entertaiment Inc.
4952,43742,Warner Bros.
15343,28313,Paramount Pictures
65446,11318,Channel Four Films
49,11318,Samuel Goldwyn Company
6861,11318,Close Call Films
20295,3036,American Zoetrope
21108,3036,TriStar Pictures
356,40490,Walt Disney Pictures
75423,24070,TriStar Pictures
75424,8986,Paramount Pictures
6032,8986,The Kennedy/Marshall Company
38091,10510,Twentieth Century Fox Film Corporation
45,17402,Hollywood Pictures
225,38722,American Zoetrope
315,38722,American Playhouse
744,38722,Majestic Films International
982,38722,Newcomb Productions
986,8438,Wolper Organization
14245,8438,Warner Bros.
38180,11593,Paramount Pictures
247,11593,Capella International
271,11593,Cinehaus
20777,1945,Twentieth Century Fox Film Corporation
976,1945,Egg Pictures
3668,1945,PolyGram Filmed Entertainment
14191,39310,40 Acres & A Mule Filmworks
101,109560,TOEI
80481,109560,Distant Justice Joint Venture
191,56428,Metrodome Films
44,63105,Filmwerks
7325,63105,Imperial Entertainment
7326,131957,Triumph Films
7327,241,Regency Enterprises
47,241,Alcor Films
6636,241,Ixtlan
1066,241,Warner Bros.
38208,241,New Regency Pictures
38209,241,J D Productions
641,9058,TriStar Pictures
7046,527,Avalon Studios
38178,527,New Zealand Film Commission
126,527,New Zealand On Air
653,18220,New Line Cinema
6242,18220,CineTel Pictures
17666,18220,MG Entertainment
10354,6950,Kopelson Entertainment
1984,6950,Punch Productions
26424,6950,Warner Bros.
1310,6950,Arnold Kopelson Productions
3592,101,Columbia Pictures
55527,101,Gaumont
1216,63020,"Samuel Goldwyn Company, The"
1497,2307,Hollywood Pictures
4106,680,Miramax Films
16832,680,A Band Apart
46654,680,Jersey Films
54659,41478,Polygram Filmed Entertainment
63558,41478,Gramercy Pictures (I)
875,41478,MVP Films
900,25296,Ang Lee Productions
16772,40156,BBC Films
52599,40156,PolyGram Filmed Entertainment
5270,40156,Miramax
310,11450,Wildwood Enterprises
1712,11450,Hollywood Pictures
5982,11450,Baltimore Pictures
8331,30304,Cecile Company
38955,30304,Thousand Cranes Filmworks
1854,10452,Renn Productions
8095,10452,Eurimages
26109,10452,Canal+
4655,10452,ARD/Degeto Film GmbH
452,10452,D.A. Films
453,10452,France2 Cinéma
454,10452,WMG Film
10828,10452,Centre National de la Cinématographie (CNC)
38114,10452,N.E.F. Filmproduktion und Vertriebs GmbH
55140,10452,Miramax
554,10452,RCS Films & TV
27128,12106,TriStar Pictures
38181,161495,Hollywood Pictures
182,161495,Interscope Communications
254,161495,Nomura Babcock & Brown
506,3586,Miramax Films
663,110,Zespół Filmowy TOR
582,110,Le Studio Canal+
17777,110,France 3 Cinéma
7961,110,Télévision Suisse-Romande
16804,108,France 3 Cinéma
33624,108,CED Productions
54051,109,Le Studio Canal+
89312,109,France 3 Cinéma
3541,109,Eurimages
64448,92769,Allegro Films
6137,92769,Norstar Entertainment
10171,92769,west wind entertainment
11787,28033,Paramount Pictures
1121,22586,Rich Animation Studios
8694,14334,Jones Entertainment Group
11011,14334,Skerry Productions
12242,2636,Jerry Weintraub Productions
13837,2636,Warner Bros.
20849,2636,Iguana Producciones
86308,2164,Centropolis Entertainment
23370,2164,StudioCanal
28400,2164,Carolco Entertainment
93503,11395,Walt Disney Pictures
740,11395,Hollywood Pictures
9023,278,Castle Rock Entertainment
528,278,Warner Bros.
6999,9905,Channel Four Films
12657,9905,Figment Films
19262,9905,The Glasgow Film Fund
297,9905,PolyGram Filmed Entertainment
3333,87078,Kino Korsakoff
19760,12527,Miramax Films
12450,12527,Tabasco films
12451,12527,Instituto Mexicano de Cinematografía (IMCINE)
88,12527,TeleMadrid
6697,20306,Cineville
6698,20306,Trimark Pictures
6700,36614,Samuel Goldwyn Company
36995,27993,New Line Cinema
69627,27993,1992 Number Four Limited Partnership
21454,27993,MHA
998,31439,Shanghai Film Studios
1704,31439,Era International Ltd
21948,9067,Trilogy Entertainment Group
23417,9059,Universal Pictures
79,9059,Tales From The Crypt Holdings
4125,193,Paramount Pictures
2173,25066,40 Acres & A Mule Filmworks
17179,25066,Savoy Pictures
17064,12122,Universal Pictures
393,11381,Paramount Pictures
5983,32636,Sony Pictures Classics
16975,36141,Populist Pictures
18188,95963,Savoy Pictures
86296,95963,Price Entertainment
11796,95963,"Jackson/McHenry Company,The"
43860,1587,Paramount Pictures
66451,9271,Paramount Pictures
72598,2064,Caravan Pictures
72471,2064,Hollywood Pictures
72472,19855,Universal Pictures
72469,60855,Fine Line Features
512,60855,Téléfilm Canada
2260,60855,First Generation Films
7508,60855,National Film Board of Canada (NFB)
73349,60855,British Columbia Film Commission
1152,236,Ciby 2000
21072,236,Film Victoria
21073,236,House & Moorhouse Films
21074,48287,Columbia Pictures Corporation
21075,48287,Beacon Pictures
21076,3049,Warner Bros.
358,3049,Morgan Creek Productions
9349,2759,PolyGram Filmed Entertainment
11561,12635,Gramercy Pictures
14698,10497,Fine Line Features
15671,10497,R.P. Productions
20783,10497,Columbia Pictures Corporation
1236,10497,Les Films Alain Sarde
2090,10497,Canal+
61085,10497,Timothy Burrill Productions
6274,11382,Miramax Films
4095,9331,Paramount Pictures
50180,9331,Mace Neufeld Productions
231,10731,Regency Enterprises
21304,10731,Alcor Films
11948,10731,Warner Bros.
2070,10464,New Line Cinema
2348,34152,Universal Pictures
53407,34152,40 Acres & A Mule Filmworks
53408,9495,Miramax Films
28206,9495,Crowvision Inc.
30232,9495,Entertainment Media Investment Corporation
87554,9495,Jeff Most Productions
1655,9495,Edward R. Pressman Film
8138,29973,Regency Enterprises
41954,29973,Alcor Films
56112,29973,Warner Bros.
109,29973,Aleor Films
223,888,Universal Pictures
328,888,Amblin Entertainment
2572,888,Hanna-Barbera Productions
2499,13,Paramount Pictures
90663,712,Channel Four Films
24827,712,PolyGram Filmed Entertainment
26192,712,Working Title Films
2377,16295,Columbia Pictures Corporation
20004,16295,New Deal Productions
1363,48992,Columbia Pictures Corporation
1443,48992,Think Again Productions
1679,48992,Riot of Color
13437,10879,Caravan Pictures
5333,10879,Touchstone Pictures
11793,10660,TriStar Pictures
21331,41647,Channel Four Films
78239,41647,Arte
78240,41647,Zweites Deutsches Fernsehen (ZDF)
93380,41647,Nomad Films
93381,41647,Omega Film GmbH
2756,41647,Without Walls
4641,8587,Walt Disney Pictures
10211,8587,Walt Disney Feature Animation
99,1689,Miramax Films
3054,11596,New Line Cinema
2974,854,New Line Cinema
882,854,Dark Horse Entertainment
8724,9359,Icon Entertainment International
31317,9359,Warner Bros.
37163,23333,Fine Line Features
961,23333,Miramax Films
2592,36593,Paramount Pictures
525,12280,Imagine Entertainment
15123,12280,Universal Pictures
657,2788,Universal Pictures
762,2788,Jersey Films
4650,10427,Propaganda Films
15278,10427,PolyGram Filmed Entertainment
1484,11011,Davis Entertainment
4169,11011,Silver Pictures
90100,11011,Warner Bros.
90101,49803,New Line Cinema
4285,8987,Universal Pictures
491,8987,David Foster Productions
52003,8987,Turman-Foster Company
4790,1637,Twentieth Century Fox Film Corporation
11332,15128,Metro-Goldwyn-Mayer (MGM)
30576,8831,Universal Pictures
1460,8831,Renaissance Pictures
11355,8831,Dark Horse Entertainment
10715,8831,Largo Entertainment
11241,8831,Signature Pictures
219,8831,JVC Entertainment Networks
11982,36955,Twentieth Century Fox Film Corporation
31892,36955,Lightstorm Entertainment
1553,10449,Touchstone Pictures
11447,10395,Columbia Pictures
385,12160,Tig Productions
10096,12160,Warner Bros.
10917,12160,Kasdan Pictures
4928,12160,Paragon Entertainment Corp.
12668,40480,Touchstone Pictures
1258,40480,Tool Shed Productions
11770,52038,BBC Films
5235,52038,Majestic Films International
16305,52038,Little Bird
1432,29444,Gramercy Pictures
4978,29444,PolyGram Filmed Entertainment
15524,26352,Caravan Pictures
12258,26352,Hollywood Pictures
638,39953,Strand Releasing
3139,39953,Strand Home Video
14121,315,Eve Productions Inc.
14122,18242,Bolex Brothers
262,18242,Lumen Films
3632,18242,Tara
3248,11667,Universal Pictures
15931,11667,Capcom
100,32502,Propaganda Films
9330,32502,Motion Picture Corporation of America (MPCA)
34103,32502,Polygram Filmed Entertainment
5999,32502,Snowback Productions
19729,28732,Live Entertainment
22060,28732,Capitol Films
21154,28732,Bates Entertainmant
21155,75555,A-Pix Entertainment
38567,75555,Devin Entertainment
31551,42981,Walt Disney Pictures
78106,42981,Theodore Thomas Productions
691,278939,Overseas FilmGroup
17218,291731,Skyline Entertainment Partners
608,291731,Arrow
610,203119,Home Box Office (HBO)
887,203119,Frozen Rope Productions Inc.
656,8011,Trans-Film
11273,8011,Initial Groupe
20049,8011,Lumière Pictures
19529,8011,Fallingcloud
44774,2654,New Line Cinema
10153,18069,New Line Cinema
8830,19092,New Line Cinema
30702,2758,Paramount Pictures
6304,2758,Orion Pictures
6305,2758,Scott Rudin Productions
5570,38129,HBO Independent Productions
38436,10436,Columbia Pictures
38944,13595,Twentieth Century Fox Film Corporation
38555,13595,Island World
10532,13595,Robert Simonds Productions
2980,46094,Hollywood Pictures
21920,46094,PolyGram Filmed Entertainment
457,46094,Interscope Communications
6033,46094,Nomura Babcock & Brown
21583,46094,NBB Unit One Film Partners
67930,46094,Longview Entertainment
20809,9409,Touchstone Pictures
163,11853,Twentieth Century Fox Film Corporation
40945,11853,"Ruddy Morgan Organization, The"
240,16771,Fine Line Features
2833,16771,Castle Rock Entertainment
8824,16771,Barcelona Films
13534,46924,Warner Bros.
3475,46924,Enigma Productions
11707,46924,BSB
14377,46924,NatWest Ventures
17339,46924,Fujisankei
3434,11041,Twentieth Century Fox Film Corporation
55239,306,Paramount Pictures
3185,306,Eddie Murphy Productions
13954,14522,Warner Bros.
13309,26203,New Line Cinema
11352,178,Trilogy Entertainment Group
20076,178,Metro-Goldwyn-Mayer (MGM)
