id_belongs_to_collection,name_belongs_to_collection,id
134011.0,The Fugitive / U.S. Marshals Collection,9536
412680.0,Hard Target Collection,11525
52988.0,Hot Shots! Collection,40628
159600.0,House Party Collection,4482
328.0,Jurassic Park Collection,10634
8580.0,The Karate Kid Collection,755
5547.0,RoboCop Collection,11859
462565.0,The Secret Garden Collection,28387
105075.0,The Shadow Collection,48750
422837.0,Blade Runner Collection,20927
224478.0,The Brady Bunch Collection,36929
9888.0,Home Alone Collection,9102
86027.0,Aladdin Collection,124626
528.0,The Terminator Collection,27526
9743.0,The Hannibal Lecter Anthology,9623
153010.0,Beauty and the Beast Collection,46785
98580.0,Candyman Collection,400
43058.0,Homeward Bound Collection,880
141086.0,Heavy Metal Collection,146599
8917.0,Hellraiser Collection,188588
140910.0,All Dogs Go to Heaven Collection,8447
87359.0,Mission: Impossible Collection,10534
169452.0,DragonHeart Collection,17414
36694.0,Bloodsport Collection,13997
158391.0,The Apu Collection,2086
144146.0,Lemmy Caution Collection,61548
143766.0,The Substitute Collection,9095
52888.0,The Visitors Collection,12158
23026.0,Ghost in the Shell Collection,9283
529.0,Wallace & Gromit Collection,9208
116661.0,The Arrival Collection,40154
303969.0,"Martin Scorsese’s World Cinema Project, Vol. 1",406
424202.0,Trainspotting Collection,45549
304378.0,Independence Day Collection,63076
97456.0,The Hunchback of Notre Dame Collection,11062
86028.0,The Nutty Professor Collection,13685
115838.0,Escape From ... Collection,47475
230.0,The Godfather Collection,2045
269098.0,Police Story Collection,9614
19163.0,The Land Before Time Collection,688
91361.0,Halloween Collection,11907
4438.0,The Space Odyssey Series,10874
47814.0,The Thin Man Collection,89333
261590.0,Living Dead Collection,96357
242765.0,In the Line of Duty Collection,197
10709.0,The Mighty Ducks Collection,103
87232.0,The Apple Dumpling Gang Collection,33542
181496.0,Davy Crockett Collection,43566
90348.0,Witch Mountain Collection,71754
12087.0,Herbie Collection,43612
216395.0,Parent Trap Collection,51352
294519.0,The Shaggy Dog Collection,16934
55419.0,Cinderella Collection,10324
271668.0,Caballeros Collection,78406
100970.0,The Fox and the Hound Collection,55731
355490.0,Freeway Collection,32119
86058.0,Dirty Dancing Collection,11066
118221.0,Weekend at Bernie's Collection,11104
86336.0,Basic Instinct Collection,37975
115225.0,Children of the Corn Collection,2074
937.0,The Pink Panther (Original) Collection,27793
174218.0,The Howling Collection,44284
39460.0,The Water of the Hills Collection,290157
153948.0,Best of the Best Collection,110972
33071.0,Cheech & Chong Collection,32622
84.0,Indiana Jones Collection,73067
8091.0,Alien Collection,11863
48317.0,The Man With No Name Collection,55475
1960.0,Evil Dead Collection,124636
119674.0,Psycho Collection,9101
112636.0,The Blues Brothers Collection,123360
330605.0,The Sting Collection,5757
359005.0,The Jake Gittes Collection,39428
264.0,Back to the Future Collection,124639
55427.0,Fantasia Collection,9302
173344.0,Qatsi Collection,11000
397842.0,The Amityville Horror Collection,249882
422193.0,The Blob Collection,16388
218406.0,Frankenstein (Universal Series),9737
257053.0,Carrie Collection,30765
10919.0,The Omen Collection,10474
498.0,Heart of Gold Collection,22279
307637.0,Jingle All the Way Collection,30157
105629.0,Paradise Lost Collection,568
124916.0,101 Dalmatians (Live-Action) Collection,11780
151.0,Star Trek: The Original Series Collection,34996
9329.0,Young Guns Collection,414
86083.0,Grease Collection,649
2366.0,The Jaws Collection,1873
2602.0,Scream Collection,5894
166379.0,Turbulence Collection,1775
393564.0,McHale's Navy Collection,8839
108693.0,National Lampoon's Vacation Collection,20649
86224.0,The Saint Collection,10329
207952.0,Barrytown Trilogy,8963
105995.0,Anaconda Collection,26564
1006.0,Austin Powers Collection,8068
174407.0,Warriors of Virtue Collection,8512
331475.0,Shiloh Collection,1572
182923.0,Tetsuo Collection,13552
86055.0,Men In Black Collection,259209
43055.0,Conan the Barbarian Collection,6520
126221.0,George of the Jungle Collection,9073
97445.0,Air Bud Collection,10428
10721.0,Mimic Collection,17447
142680.0,Alex Cross Collection,9886
135489.0,Wishmaster Collection,9482
3601.0,I Know What You Did Last Summer Collection,19326
103372.0,Mr. Bean Collection,9344
10522.0,Starship Troopers Collection,9071
372479.0,Les Boys,8973
351886.0,The Postman Collection,15730
71458.0,3 Ninjas Collection,47608
33059.0,Wild Things Collection,2293
350402.0,Barney Collection,9070
221966.0,The Odd Couple Collection,68274
97771.0,Major League Collection,48787
378453.0,Henry Fool Collection,34574
87236.0,Mulan Collection,1642
19387.0,The X-Files Collection,11472
3169.0,Dr. Dolittle Collection,36196
945.0,Lethal Weapon Collection,11980
155474.0,French Connection Collection,58372
1575.0,Rocky Collection,32646
9735.0,Friday the 13th Collection,10533
123255.0,Prom Night Collection,56088
10455.0,Child's Play Collection,10802
10453.0,Poltergeist Collection,10149
12263.0,The Exorcist Collection,18402
89151.0,The Gremlins Collection,9348
1657.0,Zorro Collection,139408
372257.0,The Poseidon Adventure Collection,281
294468.0,Flubber Collection,5967
87250.0,Bambi Collection,79593
297143.0,Dexter Riley Collection,47939
72119.0,"Honey, I Shrunk the Kids Collection",36834
97459.0,The Jungle Book Collection,9090
97460.0,Lady and the Tramp Collection,3512
33085.0,The Little Mermaid Collection,52856
100693.0,101 Dalmatians (Animated) Collection,77350
55422.0,Peter Pan Collection,9560
57971.0,The Rescuers Collection,9804
248126.0,Splash Collection,31611
63043.0,TRON Collection,65796
141290.0,The Lord of the Rings Animated Collection,49805
263193.0,Charlotte's Web Collection,26258
141292.0,The Secret Of NIMH Collection,50797
8783.0,Fievel Collection,19155
102782.0,House Collection,76
87805.0,The Gods Must Be Crazy Collection,11017
143755.0,Henry: Portrait of a Serial Killer Collection,37141
264338.0,Rosemary's Baby Collection,9382
47983.0,Killer Tomatoes! Collection,6715
735.0,Blade Collection,18256
432.0,Cube Collection,22625
90863.0,Rush Hour Collection,2292
52760.0,Urban Legend,1909
479888.0,The Thing Collection,8984
348843.0,Vampires Collection,61813
100286.0,Elizabeth Collection,4954
374384.0,Stepford Collection,62488
57129.0,Rugrats Collection,10531
374509.0,Godzilla (Showa) Collection,11929
374511.0,Godzilla (Heisei) Collection,8467
135495.0,King Kong (1933 series),10451
135498.0,King Kong (1976 series),20156
104833.0,Fletch Collection,18395
9338.0,Police Academy Collection,522
5039.0,Rambo Collection,397
89264.0,Romancing the Stone Collection,10525
86307.0,Cocoon Collection,27985
340623.0,The Gate Collection,15789
123213.0,The Fly (1958 series),27303
109609.0,The Fly Collection,21183
111751.0,Texas Chainsaw Massacre Collection,10954
9332.0,Crocodile Dundee Collection,47867
387219.0,The Hustler Collection,43475
387618.0,8MM Collection,72031
10789.0,Pet Sematary Collection,14275
33938.0,Airport Collection,1024
124934.0,Alligator Collection,17207
166698.0,Westworld Collection,13701
1709.0,Planet of the Apes Original Collection,14819
110127.0,Analyze Collection,32631
52789.0,Cruel Intentions Collection,11777
2344.0,The Matrix Collection,628
1733.0,The Mummy Collection,87729
205860.0,The Black Mask Collection,18713
221544.0,The Mummy (Universal Series),6280
138965.0,The Mummy (Hammer Series),9061
8537.0,Superman Collection,37108
221539.0,Dracula (Universal Series),6071
259027.0,The Wolf Man (Universal Series),11
123720.0,Frankenstein (Hammer Series),9587
281644.0,Rocky Horror Collection,19101
87228.0,Swamp Thing Collection,49980
106768.0,Tarzan (Animation) Collection,17961
2806.0,American Pie Collection,18183
104068.0,Tales of the Four Seasons,4476
64750.0,Blair Witch Collection,11008
97768.0,Lake Placid Collection,47504
2980.0,Ghostbusters Collection,32325
237445.0,Inspector Gadget Collection,43742
185682.0,The Adventures of Antoine Doinel,28313
135502.0,Allan Quatermain Collection,11318
91663.0,Airplane Collection,3036
180854.0,Problem Child Collection,40490
201873.0,A Christmas Story Collection,24070
10713.0,Universal Soldier Collection,8986
123251.0,Iron Eagle Collection,10510
189295.0,The Spiders Serial,17402
143757.0,Stir of Echoes Collection,38722
98168.0,Fright Night Collection,8438
146136.0,Armour of God Collection,11593
47770.0,Phantasm Collection,1945
12203.0,Drunken Master Collection,39310
124492.0,The Dirty Dozen Collection,109560
59586.0,The Blue Lagoon collection,56428
380822.0,Penitenciaría - Colección,63105
122947.0,Omega Code Series,131957
381396.0,Bats Collection,241
243598.0,The Best Man Collection,9058
89188.0,Harry Palmer Collection,527
391047.0,On Any Sunday Collection,18220
248339.0,House on Haunted Hill Collection,6950
98036.0,Re-Animator Collection,101
107725.0,Creepshow Collection,63020
212279.0,Piranha Collection,2307
398740.0,Mister Roberts Collection,680
48037.0,Meatballs Collection,41478
34055.0,Pokémon Collection,25296
95051.0,The Up Series,40156
95664.0,Deuce Bigalow Collection,11450
135509.0,The Last Picture Show Collection,30304
321063.0,The Sinbad Collection,10452
99727.0,Stuart Little Collection,12106
421904.0,Batman (DC Universe Animated) Collection,161495
103573.0,Sister Act Collection,3586
8979.0,Wayne's World Collection,110
110179.0,The Cutting Edge Collection,108
338282.0,Single White Female Collection,109
87186.0,The Boondock Saints Collection,159185
327598.0,"To Sir, with Love Collection",36357
2794.0,The Chronicles of Riddick Collection,92769
103577.0,The Whole Nine/Ten Yards Collection,28033
93568.0,Cross of Iron Collection,22586
124950.0,American Graffiti Collection,14334
8864.0,Final Destination Collection,2636
14377.0,Death Wish Collection,2164
1582.0,Teenage Mutant Ninja Turtles (Original) Collection,11395
8647.0,The Skulls Collection,278
366826.0,Navarone Collection,9905
338327.0,Beach Party Collection,87078
170754.0,Arthur Collection,12527
466318.0,Bachelor Party Collection,20306
399.0,Predator Collection,36614
86105.0,American Psycho Collection,27993
159616.0,East is East Collection,31439
104847.0,Caddyshack Collection,9067
256484.0,Carnosaur Collection,9059
175858.0,Hidden Collection,193
127280.0,The Three Mothers Collection,25066
342009.0,Die Nibelungen Filmreihe,46797
246839.0,Center Stage Collection,12122
179244.0,Pee-wee's Collection,11381
96679.0,Road Trip Collection,32636
59567.0,Shanghai Noon Collection,36141
44979.0,Big Momma's House Collection,95963
123726.0,Quatermass (Hammer series),1587
107949.0,Puppet Master Collection,9271
424830.0,The Benji Collection,2064
157671.0,The Decline of Western Civilization Collection,19855
10456.0,Dirty Harry Collection,60855
109592.0,Porky's Collection,236
263866.0,Nuke 'Em High Collection,48287
32135.0,The Toxic Avenger Collection,3049
174245.0,Alien Nation Collection,2759
8945.0,Mad Max Collection,12635
121195.0,9½ Weeks Collection,10497
207447.0,Firestarter Collection,11382
495.0,Shaft Collection,9331
171439.0,F/X Collection,10731
46512.0,Missing in Action Collection,10464
173628.0,Nekromantik Collection,34152
4246.0,Scary Movie Collection,9495
748.0,X-Men Collection,29973
166376.0,Hollow Man Collection,888
123256.0,Pumpkinhead Collection,13
47391.0,Sleepaway Camp Collection,712
123249.0,"Ilsa, She Wolf of the SS Collection",16295
223564.0,The Cell Collection,48992
374512.0,Godzilla (Millennium) Collection,10879
25410.0,The Art of War Collection,10660
430186.0,Bring It On Collection,10714
8412.0,Anatomy Collection,41647
221537.0,Creature From The Black Lagoon (Universal Series),8587
259401.0,The Invisible Man (Universal Series),1689
138971.0,The Slumber Party Massacre Collection,11596
138974.0,The Sorority House Massacre Collection,854
39244.0,Digimon Collection,9359
51509.0,Meet the Parents Collection,23333
240690.0,Billy Jack Collection,36593
44913.0,Ghoulies Collection,12280
86029.0,Charlie's Angels Collection,2788
290973.0,"Crouching Tiger, Hidden Dragon Collection",10427
106498.0,Dungeons & Dragons Collection,11011
52783.0,Wall Street Collection,49803
178117.0,The Emperor's New Groove Collection,8987
93220.0,Miss Congeniality Collection,1637
115822.0,Dracula 2000 Collection,15128
312735.0,Annie Collection,8831
107469.0,Save The Last Dance Collection,36955
141282.0,The Brave Little Toaster Collection,10449
330555.0,Ernest Collection,10395
109076.0,Lost Boys Collection,12160
124951.0,Mannequin Collection,40480
109082.0,Left Behind Collection,52038
287016.0,Wong Kar-Wai's Informal Collection,29444
421084.0,Disneys Große Pause,26352
366444.0,Demetrius Filmreihe,39953
116847.0,Dr. Phibes Collection,41580
48190.0,Revenge of the Nerds Collection,315
257571.0,C.H.U.D. Collection,22067
86486.0,Spy Kids Collection,18242
8936.0,Bridget Jones Collection,11667
353325.0,Joe Dirt Collection,32502
2150.0,Shrek Collection,267188
441439.0,Alienation Trilogy,28732
110021.0,The Magnificent Seven Collection,75555
100965.0,Atlantis Collection,42981
2467.0,Tomb Raider Collection,278939
9485.0,The Fast and the Furious Collection,291731
3963.0,The Crimson Rivers Collection,226229
87014.0,Cats & Dogs Collection,203119
421566.0,Totò Collection,172923
101688.0,Cannonball Run Collection,316098
427956.0,Dr Goldfoot Collection,8011
140760.0,Final Fantasy Collection,171857
86024.0,Legally Blonde Collection,2654
10893.0,Critters Collection,18069
182617.0,Elvira Collection,19092
101471.0,Return of the Living Dead Collection,2758
89272.0,The Man From Snowy River Collection,38129
86347.0,Short Circuit Collection,10436
126220.0,The Waxwork Collection,13595
91945.0,American Ninja Collection,46094
91746.0,Bill & Ted's Most Excellent Collection,9409
98853.0,Cyborg Collection,11853
351230.0,Dream a Little Dream Collection,16771
186102.0,Eddie and the Cruisers Collection,46924
88735.0,K-9 Collection,11041
105322.0,Kickboxer Collection,306
9521.0,Look Who's Talking Collection,14522
87631.0,The Musketeers Collection,26203
224976.0,Road House Collection,178
138706.0,The Stepfather Collection,19819
87536.0,Warlock Collection,57834
104716.0,Basket Case Collection,4722
107674.0,The Princess Diaries Collection,18215
239968.0,La cage aux folles,1607
168182.0,Philo & Clyde Collection,26391
94899.0,Jeepers Creepers Collection,117553
383632.0,A Man Called Horse Collection,6075
352789.0,Zoolander Collection,11310
166378.0,Joy Ride Collection,18658
41649.0,The Party Collection,9350
178106.0,Darko Collection,9612
137696.0,"Monsters, Inc. Collection",2124
276838.0,When a Stranger Calls Collection,26261
1241.0,Harry Potter Collection,19176
449750.0,Fanny Brice Collection,49299
106000.0,Beastmaster Collection,11566
284024.0,The Exterminator Collection,9571
211753.0,Caprona Collection,9739
98513.0,Behind Enemy Lines Collection,24257
304.0,Ocean's Collection,34444
119.0,The Lord of the Rings Collection,26141
476056.0,Fritz the Cat Collection,10997
395591.0,Sex and Zen Collection,50463
93295.0,48 Hrs. Collection,10443
87214.0,The Sandlot Collection,20239
449462.0,Super Troopers Collection,16297
262011.0,Sleuth Collection,18551
124879.0,State Property Collection,25440
215326.0,The Bad New Bears Collection,9024
460292.0,The Lone Ranger (Clayton Moore) Collection,37233
122952.0,Vampire Hunter D Collection,1634
19160.0,FernGully Collection,13815
133923.0,Zombi Collection,5503
108669.0,Get Smart Collection,35588
221308.0,"Oh, God! Collection",2087
8354.0,Ice Age Collection,41579
17255.0,Resident Evil Collection,18620
456980.0,The Paleface Collection,41006
135441.0,Road to Collection,4916
87220.0,Smokey and the Bandit Collection,2019
112537.0,Sällskapsresorna,31642
43220.0,National Lampoon’s Van Wilder Collection,9255
261526.0,Slap Shot Collection,26271
389767.0,My Big Fat Greek Wedding Collection,10612
256729.0,War Trilogy,2259
406817.0,Horror High Collection,16097
107688.0,3 Men Collection,11934
116669.0,The Scorpion King Collection,106143
5202.0,Wild Orchid Collection,12475
556.0,Spider-Man Collection,9386
178654.0,White Fang Collection,7984
31562.0,The Bourne Collection,59930
86860.0,Scooby-Doo Collection,15765
97461.0,Lilo & Stitch Collection,31643
363014.0,Like Mike Collection,6
167456.0,Our Man Flint Collection,329
113635.0,The Modesty Blaise Collection,10909
52785.0,xXx Collection,507
356437.0,Living Trilogy,34024
115839.0,Blue Crush Collection,29918
117777.0,Undisputed Collection,9593
363966.0,Care Bears Collection,42580
135501.0,976-EVIL Collection,22317
176097.0,Barbershop Collection,1413
9518.0,The Transporter Collection,12121
267922.0,The Hills Have Eyes (Original) Collection,2246
277739.0,"Heaven, Hell and Purgatory Collection",10502
123724.0,Dracula (Hammer Series),10440
386818.0,Django - Original films,9516
14563.0,The Ring Collection,2320
288280.0,Saturday Night Fever Collection,5879
457305.0,Man of Marble/Iron Collection,83718
373538.0,Enter the Ninja Collection,11971
97237.0,Faces of Death Collection,2625
169329.0,Göta kanal collection,31911
295862.0,The BRD Collection,788
264437.0,My Bloody Valentine Collection,21450
17178.0,Jackass Collection,11231
43063.0,Half Past Dead Collection,41588
148517.0,"Pagnol, Childhood's Memories",10447
88574.0,Scanners Collection,31586
218293.0,Brother Collection,9300
12075.0,Elling Collection,9559
296429.0,I Spit on Your Grave (Original) Collection,9800
374386.0,Anglo-Zulu War Collection,713
140126.0,Vabank (Collection),8291
63170.0,Jönsson Gang,18133
164397.0,Class of 1999 Collection,25557
423877.0,Turkish Star Wars,22588
85960.0,My Girl Collection,10872
104842.0,Blue Collar Comedy Tour Collection,1245
227147.0,Tokyo Decadence series,11858
10517.0,Le Gendarme de St. Tropez Collection,7007
315750.0,They Call Me Bruce Collection,10467
137766.0,Zapped Collection,5550
195441.0,Dennis the Menace Collection,8005
405393.0,The Black Stallion Collection,2088
375886.0,Willard,10412
354210.0,Born Free Trilogy,47889
93369.0,Ringu Collection,14534
261057.0,I Am Curious Collection,56583
100992.0,The Flicka Collection,41878
8385.0,Aki Kaurismäki's Finland trilogy,424
105625.0,House of 1000 Corpses Collection,35233
228887.0,Daddy Day Camp Collection,14291
92222.0,Breakin' Collection,103413
431417.0,Nevada Smith Collection,11236
239766.0,The Klapisch Trilogy,11592
124949.0,Almighty Collection,8850
137697.0,Finding Nemo Collection,10445
52985.0,Wrong Turn Collection,695
1565.0,28 Days/Weeks Later Collection,43535
295.0,Pirates of the Caribbean Collection,12519
86117.0,Johnny English Collection,23210
194752.0,Trilogie,858
289531.0,Gator Collection,867
221111.0,S.W.A.T. Collection,78
91427.0,Agent Cody Banks Collection,13203
91799.0,Tremors Collection,10442
7505.0,Elements Trilogy,11074
330892.0,Sides of the Bed,33367
201576.0,The Cabin Fever Collection,9607
10457.0,Once Upon a Time in China Collection,17585
2326.0,Underworld Collection,9057
409138.0,Yossi Collection,20967
201778.0,Dorm Daze Collection,10635
187736.0,Leningrad Cowboys Collection,9479
168880.0,Beethoven Collection,10057
11794.0,Ginger Snaps Collection,11969
117927.0,House of the Dead Collection,41590
2883.0,Kill Bill Collection,319
425175.0,Texas Chainsaw (Reboot) Collection,26408
96472.0,Brother Bear Collection,15139
264335.0,The Eye Collection,161158
478628.0,Sherlock Holmes (1939 series),218473
423173.0,Bad Santa Collection,85247
45154.0,Darkman Collection,11446
208765.0,Europa Trilogy,51980
151263.0,WarGames Collection,24405
397444.0,Kindergarten Cop Collection,11655
16302.0,Battle Royale Collection,11800
43066.0,Teen Wolf Collection,8223
19285.0,Leprechaun Collection (Original Series),14587
144689.0,Honey Collection,31504
114783.0,Cheaper by the Dozen Collection,41653
245129.0,Pumping Iron Collection,53185
157890.0,The Matt Helm Collection,95743
52749.0,The Butterfly Effect Collection,23637
353721.0,You Got Served Collection,17600
158373.0,The Lost Skeleton Collection,10897
201930.0,Blacula Collection,349394
1952.0,USA: Land of Opportunities Collection,21352
17235.0,Hellboy Collection,68806
86334.0,The Prince & Me Collection,37345
299748.0,Walking Tall Collection,32562
99606.0,Mean Girls Collection,47507
109608.0,Van Helsing Collection,25403
205977.0,The Kingdom,124304
404111.0,100 Girls Collection,9066
10441.0,Babylon 5 Collection,771
126166.0,The Delta Force Collection,251
272673.0,Cat People Collection,812
159340.0,Bang Rajan Collection,280
14246.0,Sniper Collection,581
478442.0,Lammbock Collection,80350
122945.0,The Legend Collection,268
123740.0,Vampire Karnstein (Hammer series),274
308153.0,The Cheerleaders - Collection,408
48829.0,The Streetfighter Collection,10020
145494.0,The Gidget Collection,10895
286935.0,Silence of God Trilogy by Ingmar Bergman,114
185667.0,The Complete Monterey Pop Festival,41043
58588.0,Infernal Affairs Collection,576
349889.0,Robot Jox Collection,15477
434533.0,Death Race Original Collection,59146
434270.0,Lew Harper Collection,124472
95891.0,In China They Eat Dogs Collection,30528
289288.0,Per Fly trilogien (Samling),7300
192532.0,Dead or Alive Collection,10824
11140.0,Dr. Mabuse Collection,261246
145901.0,Lupin the Third Collection,275
448468.0,Grey Gardens Collection,25059
86115.0,Garfield Collection,11827
475802.0,Super Size Me Collection,8766
85473.0,The Human Condition,23570
476054.0,The Hitcher (1986) Collection,47333
145784.0,The Philadelphia Experiment - Collezione,54850
211721.0,Taxi Collection,51242
280539.0,Lassie (Kinofilme),10112
93791.0,Anchorman Collection,4307
437451.0,Cinderella Story Collection,46029
138163.0,Trylogia Sienkiewicza,32308
306882.0,Thunderbirds (Animation) Collection,88893
171586.0,PTU Collection,52873
30663.0,Harold & Kumar Collection,123505
115762.0,AVP Collection,340210
146534.0,Without a Paddle Collection,44281
374418.0,The Mangler Collection,28121
136218.0,Night of the Demons Collection,12520
168186.0,Witchboard Collection,1592
256297.0,It's Alive Collection,166901
1974.0,The Grudge Collection,36447
656.0,Saw Collection,19042
468222.0,The Incredibles Collection,38884
52984.0,National Treasure Collection,47449
275402.0,SpongeBob Collection,36259
208602.0,That's Entertainment Collection,41852
48802.0,I Love a Mystery movie series,40926
438087.0,Topper Collection,9099
158365.0,Why We Fight,2021
426985.0,Ivan The Terrible Collection,61752
84923.0,The Orphic Trilogy,10988
135508.0,Allan Quatermain (1950 series),11479
12077.0,St. Trinian's Collection,398959
102452.0,Samurai Collection,287305
94039.0,Asterix and Obelix (Animation) Collection,339428
161766.0,Gamera Films,12652
212525.0,Trinità  Collection,10684
308465.0,The Emigrants Collection,954
105764.0,The Tall Blond Man Collection,68445
102128.0,Lone Wolf and Cub Collection,18989
409026.0,Nobody Collection,10801
157504.0,Walking Tall Original Collection,54285
39438.0,Emmanuelle Collection,8840
391040.0,Gone in 60 Seconds Trilogy,278978
211860.0,Mountain Family Robinson Collection,124625
405256.0,Dolemite Collection,11107
107473.0,Ирония судьбы (Коллекция),16417
334563.0,The Sister Street Fighter Collection,70934
294834.0,Vixens Collection,10363
188458.0,Trilogy of Terror Collection,161070
255702.0,The Rutles Collection,10539
52835.0,French Fried Vacation,10543
14095.0,Barefoot Gen Collection,18414
133830.0,Star Wars: The Ewok Adventures Collection,47502
256296.0,"Silent Night, Deadly Night Collection",11902
94035.0,Anne of Green Gables Collection,27098
284111.0,Barbarian Queen Collection,25087
430201.0,Demons Collection,5801
155421.0,Mr. Vampire Collection,896
74083.0,Flodder Collection,3065
99635.0,A Better Tomorrow Collection,318177
160468.0,The Frogtown Collection,2300
324149.0,Koker Trilogy,8069
9046.0,A Chinese Ghost Story Collection,288173
98435.0,Patlabor Collection,187851
476066.0,Begotten Collection,27768
361140.0,House of Angels Collection,221917
151861.0,Lonesome Dove Collection,8072
192167.0,The Bride with White Hair Collection,35797
86341.0,Fortress Collection,88030
278467.0,Trilogía de la violencia de Michael Haneke,185191
309259.0,Naked Collection,83857
473943.0,Gonin collection,33245
190435.0,Street Fighter Collection,124460
203178.0,Jack Frost Collection,27281
137913.0,The Hunters Collection,105045
203910.0,Pusher Collection,40001
362047.0,Bikini Summer Collection,29621
142717.0,The Cremaster Cycle,117730
108043.0,Hamilton Collection,20762
2248.0,Torrente Collection,37144
344936.0,Unna Trilogie,48260
149191.0,Lady Snowblood Collection,12656
404770.0,Superman (DC Universe Animated) Collection,38867
96850.0,Evangelion Collection,277270
338416.0,Kirikou,25969
107462.0,Osobennosti Natsionalnoy ... - Collection,44103
268014.0,The Big Bottom Box,753
164394.0,If These Walls Could Talk Collection,43634
206072.0,Running Out Of Time Collection,9103
426370.0,The Wog Boy Collection,90214
103190.0,The Female Prisoner Series,29649
379475.0,Batman Beyond Collection,10990
2396.0,Asterix and Obelix Collection,8866
473850.0,My Sassy Girl Collection,12233
118657.0,Annika Bengtzon Collection,23449
101676.0,My Wife is a Gangster Collection,36355
386495.0,Fubar Collection,37667
4563.0,The Vengeance Collection,90148
308645.0,The Foreigner Collection,922
24726.0,Johan Falk Collection,11876
279836.0,Herr Lehmann Filmreihe,52633
1972.0,Ju-on Collection,62364
377545.0,Samurai Trilogy,11687
192541.0,The Twins Effect Collection,9304
371950.0,Dark Woods Collection,73183
126580.0,One Missed Call Collection,131232
53154.0,Inuyasha Collection,9100
94589.0,Ong Bak Collection,20759
306063.0,Saints and Soldiers Collection,46063
86113.0,Open Water Collection,365371
475520.0,The Yes Men Collection,32513
107461.0,Bummer Collection,40651
101246.0,Azumi Collection,36915
476065.0,What the Bleep! Collection,40507
102777.0,White Noise Collection,9802
191023.0,The Yakuza Papers Collection,25697
251858.0,Brancaleone Collection,21588
87800.0,Appleseed Collection,664
11875.0,Pippi Longstocking,11867
413937.0,Father Flanagan Collection,47119
275873.0,Dr. Who Collection,314352
176118.0,The Are We Collection,9323
149704.0,Alone in the Dark Collection,10280
96937.0,The Boogeyman Collection,10535
437628.0,Constantine Collection,124613
3106.0,World of Watches Collection,532
384920.0,"No Retreat, No Surrender Collection",26744
169851.0,The ChubbChubbs Collection,16299
108170.0,The Blind Dead Collection,10547
101646.0,Vares Collection,245268
385721.0,Zu Warriors Collection,935
135179.0,Sin City Collection,55613
167691.0,Trilogy of Life,215107
97919.0,The Love Comes Softly Collection,41007
96887.0,Zatôichi: The Blind Swordsman,35645
441443.0,Ukraine Trilogy,110465
14740.0,Madagascar Collection,255546
17368.0,The Sisterhood of the Traveling Pants Collection,40751
263.0,The Dark Knight Collection,275096
150954.0,My Friends Collection,85778
9744.0,Fantastic Four Collection,11101
131780.0,Whispering Corridors Collection,9826
332357.0,The Dukes Of Hazzard Collection,9879
220448.0,Mr. Wong Collection,63564
93731.0,Waiting Collection,22621
152544.0,Green Street Hooligans Collection,7095
174386.0,Into the Blue Collection,26890
